Model,VQA Prompted,VQA Unprompted,Cls. Accuracy,Cls. Precision,Cls. Recall,Cls. F1,Seg. IoU,Seg. Dice
CLIP,—,—,34.7,34.5,100,51.3,—,—
ViCLIP,—,—,35.8,34.8,98.5,51.4,—,—
Endo-CLIP,—,—,52.9,41.9,95.2,58.2,—,—
Colon-ViCLIP,—,—,64.4,49.0,84.2,62.0,—,—
SAM 3,—,—,—,—,—,—,2.5,2.9
GPT-4o,—,—,—,—,—,—,0.5,0.8
Claude Opus 4.6,—,—,—,—,—,—,16.1,20.5
GPT-5.2,—,—,—,—,—,—,30.7,36.5
GPT-5.4,—,—,—,—,—,—,34.5,41.1
Qwen3-VL 8B,32.9,38.3,34.4,34.4,100,51.2,10.4,13.1
Seed 1.6 Flash,38.1,45.4,72.9,94.2,24.3,38.6,2.6,3.5
Qwen-VL Max,39.1,45.4,65.6,0.0,0.0,0.0,25.6,29.6
Qwen3-VL 32B,39.3,44.4,65.6,0.0,0.0,0.0,12.7,15.9
Qwen3.5 Plus,44.3,60.5,59.1,36.2,24.6,29.3,16.7,21.0
Molmo 2-8B,46.1,53.4,67.3,52.9,46.7,49.6,2.6,3.8
Qwen3-VL 235B,46.7,56.6,64.9,22.2,0.7,1.4,13.6,16.9
Gemini 2.5 Flash Lite,47.8,46.8,52.3,42.3,95.9,58.7,19.9,24.3
Qwen3.5 397B,49.0,60.1,64.6,10.0,0.4,0.7,16.6,21.0
GLM-4.6V,55.7,53.8,60.6,46.5,94.1,62.2,12.5,16.1
Seed 1.6,62.9,72.0,82.0,85.0,58.7,69.4,12.6,16.1
Gemini 3.1 Flash Lite,69.2,67.7,85.1,72.6,90.8,80.7,37.4,43.4
Gemini 3 Flash,76.6,76.0,72.0,55.3,97.1,70.5,48.3,54.7
Gemini 3 Pro,78.6,82.5,81.1,66.1,93.0,77.3,45.0,51.3
